,Brand_Name,Name_of_the_Product,Rating,No_of_Ratings,Price,Return_Exchange,Expected_Delivery,Availability,Other_Details,Product_URL
30,-,"Yamaha F280 Acoustic Guitar, Tobacco Brown Sunburst",,-,-,7 Days Replacement,-,-,"Product Dimensions 102.9 x 41.2 x 11.6 cm; 2 Kilograms, Item model number VCW6800, Back Material Tonewood, Body Material Wood, Colour TBS, Scale Length 634, String Material Stainless Steel, Top Material Spruce, Number of Strings 6, Size 3/4, Item Weight 2 kg, Manufacturer Yamaha Corporation, Country of Origin India",https://www.amazon.in/Yamaha-Acoustic-Guitar-Tobacco-Sunburst/dp/B08VXR74Q2/ref=sr_1_27?keywords=guitar&qid=1638688106&sr=8-27
31,-,"Medellin 38in Premium All Wood Acoustic Guitar Starter Kit Combo with Bag, Strap, Picks, String Set (Black)",,-,-,7 Days Replacement,-,-,"Brand Medellin, Manufacturer Medellin, Model MED-BLK-C, Package Dimensions 100 x 43 x 16.99 cm; 2 Kilograms, Item model number MED-BLK-C, Batteries Required No, Manufacturer Medellin, Country of Origin China, Item Weight 2 kg",https://www.amazon.in/Medellin-MED-BLK-C-Linden-Acoustic-Guitar/dp/B07NBMNZS2/ref=sr_1_28?keywords=guitar&qid=1638688106&sr=8-28
32,-,"Henrix 38 Acoustic Guitar with Die-cast Tuners and Dual-action Truss Rod - Includes Picks, Bag, Strings, Strap, Polishing Cloth and String Winder",,-,-,7 Days Replacement,-,-,"Product Dimensions 60 x 46 x 14 cm; 2.96 Kilograms, Item model number 38CN-$AMZ, Back Material Basswood, Body Material Linden, Colour HEN-38CSB Standard, Fretboard Material Rosewood, String Material Steel, Top Material Basswood, Size 38CSB, Item Weight 2 kg 960 g, Manufacturer Henrix, Country of Origin China",https://www.amazon.in/Henrix-Acoustic-Guitar-Die-cast-Dual-action/dp/B07VHRWV4R/ref=sr_1_29?keywords=guitar&qid=1638688106&sr=8-29
33,-,"Blueberry 38C IN Acoustic Guitar Kit with Bag,Belt & Picks inbuilt Truss-rod (Blue)",,-,-,7 Days Replacement,-,-,"Brand Blueberry, Manufacturer Blueberry, Model 38C-IN, Model Name B-40IN, Product Dimensions 94 x 34 x 9 cm; 2 Kilograms, Item model number 38C-IN, Batteries Required No, Material Bass Wood, Mahogany Wood, Rose Wood, Hand Orientation Ambidextrous, Manufacturer Blueberry, Country of Origin India, Item Weight 2 kg",https://www.amazon.in/Blueberry-Acoustic-Guitar-inbuilt-Truss-rod/dp/B08T8HW3K7/ref=sr_1_30?keywords=guitar&qid=1638688106&sr=8-30
34,-,"Vault EA20 Guitar Kit with Learn to Play Ebook, Bag, Strings, Straps, Picks, String winder & Polishing Cloth - 40 inch Cutaway Acoustic Guitar (Black)",,-,-,7 Days Replacement,-,-,"Brand VAULT, Manufacturer VAULT, Model EA20BK, Model Name EA20BK, Product Dimensions 31 x 19 x 9 cm; 1.2 Kilograms, Item model number EA20BK, Manufacturer VAULT, Country of Origin China, Item Weight 1 kg 200 g",https://www.amazon.in/Guitar-Strings-Straps-String-Polishing/dp/B097N7NGHD/ref=sr_1_31?keywords=guitar&qid=1638688106&sr=8-31
35,-,MEOL Guitar Toys for Kids 4-String Acoustic Guitar ( 17 Inches ),,-,-,7 Days Returnable,-,-,"Batteries Included No, Color Brown, Product Dimensions 13.5 x 4 x 43 cm; 499 Grams, Item part number G-TFK0123, Manufacturer recommended age 3 years and up, Manufacturer MEOL, Country of Origin India, Item Weight 499 g",https://www.amazon.in/MEOL-Guitar-4-String-Acoustic-Inches/dp/B08SC5K8R7/ref=sr_1_32?keywords=guitar&qid=1638688106&sr=8-32
36,-,"Juarez 41 Inch Acoustic Guitar Kit with Truss Rod, Solid Linden Wood, Ziko Strings, Pearl Rosette, Rosewood Fretboard & Bridge, Die Cast Machine with Picks, Strap, Strings & Bag, High Gloss Black",,-,-,7 Days Replacement,-,-,"Product Dimensions 30 x 20 x 10 cm; 2 Kilograms, Item model number JRB41C/BK, Back Material Linden Wood, Body Material Linden, Colour Natural, Fretboard Material Rosewood, String Gauge Light, String Material Stainless Steel, Top Material SOLID LINDEN WOOD, Neck Material Type Catalpa Wood, Number of Strings 6, Guitar Bridge System Fixed, Material Linden Wood, Proficiency Level All, Item Weight 2 kg, Manufacturer yamona, Country of Origin China",https://www.amazon.in/Acoustic-Strings-Rosette-Rosewood-Fretboard/dp/B09FPQX7RN/ref=sr_1_33?keywords=guitar&qid=1638688106&sr=8-33
37,-,"Juârez Acoustic Guitar, 38 Inch Cutaway, JRZ38C with Bag, Strings, Pick and Strap, Red",,-,-,7 Days Replacement,-,-,"Product Dimensions 95.1 x 43 x 11.8 cm; 2.1 Kilograms, Item model number JRZ38C RED, Back Material Blackwood, Body Material Wood, Colour Red, Fretboard Material Ebony, String Material Steel, Neck Material Type Lindenwood, Number of Strings 6, Material Linden Wood, Item Weight 2 kg 100 g, Manufacturer YAMONA INDUSTRIAL CO., Country of Origin China, Imported By Photronics Inc. Unit 110-111, Bldg B-18, Arihant Commercial Complex, Purna Village, Bhiwandi(Thane) - 421 302",https://www.amazon.in/JUAREZ-JRZ38C-Handed-Acoustic-Strings/dp/B01FYYTDW2/ref=sr_1_34?keywords=guitar&qid=1638688106&sr=8-34
38,-,"Yamaha FS100C Acoustic Guitar, Black",,-,-,7 Days Replacement,-,-,"Brand YAMAHA, Manufacturer Yamaha Corporation, Yamaha Corporation, Model ZC82600, Model Name FS100C BLACK, Product Dimensions 105.6 x 37.6 x 14 cm; 3.2 Kilograms, Item model number ZC82600, Mounting Hardware Guitar(1U),Owners Manual(1U),Contact List(2U),Wrench (1U), Number Of Items 1, Batteries Included No, Batteries Required No, Hand Orientation Right, Includes AC Adapter No, Manufacturer Yamaha Corporation, Country of Origin India, Imported By Yamaha Music India Pvt Ltd, P 401, JMD Megapolis, Sohna Rd, Sector 48, Gurugram, Haryana 122018 Phone: 0124 485 3300, Item Weight 3 kg 200 g",https://www.amazon.in/Yamaha-FS-100C-6-String-Acoustic-without/dp/B00PAS9CK6/ref=sr_1_35?keywords=guitar&qid=1638688106&sr=8-35
39,-,Yamaha FX280 Semi acoustic Dreadnought Guitar with Bag (Tobacco Sunburst),-,-,-,7 Days Replacement,-,-,"Brand YAMAHA, Manufacturer YAMAHA, Model FX280, Model Name FX280, Product Dimensions 102.9 x 41.2 x 11.6 cm; 5 Kilograms, Item model number FX280, Manufacturer YAMAHA, Item Weight 5 kg",https://www.amazon.in/FX280-acoustic-Dreadnought-Tobacco-Sunburst/dp/B09HR7BXGW/ref=sr_1_36?keywords=guitar&qid=1638688106&sr=8-36
40,-,SHOPECOM String Acoustic Guitar | Adjustable Tuning Knob | Classical Guitar Toy | Musical Instrument Learning Toy for Kids,-,-,-,7 Days Replacement,-,-,"Brand SHOPECOM, Manufacturer SHOPECOM, Model 001, Item model number 001, Manufacturer SHOPECOM, Country of Origin India",https://www.amazon.in/SHOPECOM-Acoustic-Adjustable-Classical-Instrument/dp/B08V8VX8FD/ref=sr_1_37?keywords=guitar&qid=1638688106&sr=8-37
41,-,"Yamaha F280 Acoustic Guitar, Natural With Bajaao Gig Bag",,-,-,7 Days Replacement,-,-,"Brand YAMAHA, Manufacturer Yamaha, Model F280NT, Model Name Yamaha, Package Dimensions 109.6 x 56.4 x 16.6 cm; 5.32 Kilograms, Item model number F280NT, Batteries Required No, Manufacturer Yamaha, Item Weight 5 kg 320 g",https://www.amazon.in/Yamaha-Acoustic-Guitar-Natural-Bajaao/dp/B08RMP2F6Z/ref=sr_1_38?keywords=guitar&qid=1638688106&sr=8-38
42,-,"D'Addario EZ900 Acoustic Guitar Strings, Pack of 2",,-,-,7 Days Replacement,-,-,"Brand D'Addario, Manufacturer D'addario, Model EZ900, Product Dimensions 12.7 x 12.2 x 1.5 cm; 5 Kilograms, Item model number EZ900, Number Of Items 2, Batteries Included No, Batteries Required No, Manufacturer D'addario, Country of Origin India, Item Weight 5 kg",https://www.amazon.in/DAddario-EZ900-Acoustic-Guitar-Strings/dp/B016BPK3QI/ref=sr_1_39?keywords=guitar&qid=1638688106&sr=8-39
43,-,"PCOX 4-String Acoustic Guitar Learning Kids Toy, Brown 18""",,-,-,7 Days Returnable,-,-,"Number of Game Players 1, Number of Puzzle Pieces 1, Material Type(s) ABD PLASTIC, Color Brown, Package Dimensions 10 x 10 x 5 cm; 400 Grams, Manufacturer recommended age 3 years and up, Manufacturer PCOX, Item Weight 400 g",https://www.amazon.in/PCOX-4-String-Acoustic-Guitar-Learning/dp/B08SQWT47F/ref=sr_1_40?keywords=guitar&qid=1638688106&sr=8-40
44,-,Vault RG1 Soloist Electric Guitar - Transparent Black,,-,-,7 Days Replacement,-,-,"Brand VAULT, Manufacturer Vault, Model RG1ILTBK, Product Dimensions 104 x 40 x 9 cm; 1.2 Kilograms, Item model number RG1ILTBK, Hand Orientation Right, Manufacturer Vault, Country of Origin China, Item Weight 1 kg 200 g",https://www.amazon.in/Vault-RG1-Soloist-Electric-Guitar/dp/B09GLZSS95/ref=sr_1_41?keywords=guitar&qid=1638688106&sr=8-41
45,-,HRB MUSICALS Guitar black Capo b4 + 2 Guitar Wall mount with fitting + Guitar black strap/Belt (4 Guitar Picks Free),,-,-,7 Days Replacement,-,-,"Brand HRB MUSICALS, Manufacturer HRB Musicals, Model HRB-WS2-BC-BB, Product Dimensions 17 x 10 x 10 cm, Item model number HRB-WS2-BC-BB, Manufacturer HRB Musicals, Country of Origin India",https://www.amazon.in/HRB-MUSICALS-Guitar-black-fitting/dp/B08KHS1F99/ref=sr_1_42?keywords=guitar&qid=1638688106&sr=8-42
46,-,"Kordz Luana Natural Wooden 41 Inch Rosewood Fretboard Acoustic Guitar With Bag,Strap,1 Set of Extra Strings and 2 Picks",,-,-,7 Days Replacement,-,-,"Brand Kordz, Manufacturer Kordz, Model Luana Natural, Package Dimensions 86.2 x 24 x 13.4 cm; 3 Kilograms, Item model number Luana Natural, Batteries Required No, Manufacturer Kordz, Country of Origin India, Item Weight 3 kg",https://www.amazon.in/Kordz-Luana-Natural-Rosewood-Fretboard/dp/B07V4Y1V9M/ref=sr_1_43?keywords=guitar&qid=1638688106&smid=A13OVDGGW6HXSA&sr=8-43
47,-,"Medellin 38in Premium All Wood Acoustic Guitar Starter Kit (Natural, Super Combo Combo with Bag, Strap, Picks, String Set, Tuner, Stand, Capo) (purple)",,-,-,7 Days Replacement,-,-,"Brand Medellin, Manufacturer medellin, Model MED-NAT, Package Dimensions 96 x 41 x 5 cm; 2 Kilograms, Item model number MED-NAT, Manufacturer medellin, Country of Origin China, Item Weight 2 kg",https://www.amazon.in/Medellin-Premium-Acoustic-Starter-Natural/dp/B09MSGPQ43/ref=sr_1_44?keywords=guitar&qid=1638688106&sr=8-44
48,-,KREEPO Guitar Fretboard Sticker Fingerboard Frets Note Chart Decals Stickers Beginner Learner Acoustic-Electric Guitar Multicolor(9.1cm X 14.5cm),,-,-,7 Days Replacement,-,-,"Brand KREEPO, Manufacturer KREEPO, Model Guitar_st_kr_a1_001, Package Dimensions 20 x 10 x 5 cm; 100 Grams, Item model number guitar_st_kr_a1_001, Material Vinyl, Hand Orientation Left, Manufacturer KREEPO, Item Weight 100 g",https://www.amazon.in/KREEPO-Fretboard-Fingerboard-Acoustic-Electric-Multicolor/dp/B09DWY4ZK2/ref=sr_1_45?keywords=guitar&qid=1638688106&sr=8-45
49,-,"Juârez JRZ38C/ASH 6 Strings Acoustic Guitar 38 Inch Cutaway, Right Handed, Ash with Bag, Strings, Picks and Strap",,-,-,7 Days Replacement,-,-,"Product Dimensions 110 x 46 x 11.5 cm; 2.1 Kilograms, Item model number JRZ38C/ASH, Back Material Wood, Basswood, Body Material Linden, Colour ASH, Fretboard Material Ebony, String Material Steel, Number of Strings 6, Item Weight 2 kg 100 g, Manufacturer YAMONA INDUSTRIAL CO., Country of Origin China, Imported By Photronics Inc. Unit 110-111, Bldg B-18, Arihant Commercial Complex, Purna Village, Bhiwandi(Thane) - 421 302",https://www.amazon.in/Juarez-JRZ38C-ASH-Strings-Acoustic/dp/B072JTPNZC/ref=sr_1_46?keywords=guitar&qid=1638688106&sr=8-46
50,-,"Givson Venus Special Cutaway Rosewood 41 Inch Acoustic Guitar Kit With Cover/Bag, String Set, Strap and 5 Plectrums (BLACK)",,-,-,7 Days Replacement,-,-,"Brand GIVSON, Model Vs-bu-B, Model Name Venus Special, Model Year 2021, Product Dimensions 13.5 x 35 x 50 cm; 2.62 Kilograms, Item model number vs-bu-B, Special Features Pick up, Cutaway, Mounting Hardware Picks,Bag,Belt And String Set Picks | Belt And String Set, Material Rose Wood, Hand Orientation Right, Country of Origin India, Item Weight 2 kg 620 g",https://www.amazon.in/Givson-Ketostics-Guitar-Acoustic-Plectrums/dp/B08KS5MRSC/ref=sr_1_47?keywords=guitar&qid=1638688106&sr=8-47
51,-,Vault ST1 Premium Electric Guitar - White,,-,-,7 Days Replacement,-,-,"Brand VAULT, Manufacturer Vault, Model ST1ILWHT, Product Dimensions 104 x 40 x 9 cm; 2.78 Kilograms, Item model number ST1ILWHT, Hand Orientation Right, Manufacturer Vault, Country of Origin China, Item Weight 2 kg 780 g",https://www.amazon.in/Vault-ST1-Premium-Electric-Guitar/dp/B09GLYSJ8W/ref=sr_1_48?keywords=guitar&qid=1638688106&sr=8-48
52,-,Belear I-280 38 Inch Blue Spruce Cutaway Acoustic Guitar with Truss Rod,,-,-,7 Days Replacement,-,-,"Brand Belear, Manufacturer Dev industries, Model I-280-WBL, Product Dimensions 65 x 41 x 16 cm; 1.5 Kilograms, Item model number I-280-WBL, Manufacturer Dev industries, Country of Origin China, Item Weight 1 kg 500 g",https://www.amazon.in/Belear-Spruce-Cutaway-Acoustic-Guitar/dp/B08YKDMY8D/ref=sr_1_49?keywords=guitar&qid=1638688106&sr=8-49
53,-,"Kadence Slowhand Series Premium Acoustic Guitar, 38"" Mahagony wood SHM-03 with bag",,-,-,7 Days Replacement,-,-,"Brand Kadence, Manufacturer Kadence, Model SHM02, Package Dimensions 100 x 48 x 16 cm; 2 Kilograms, Item model number SHM02, Batteries Required No, Manufacturer Kadence, Country of Origin China, Item Weight 2 kg",https://www.amazon.in/Kadence-Slowhand-Premium-Acoustic-Mahagony/dp/B097YJJWX3/ref=sr_1_50?keywords=guitar&qid=1638688106&sr=8-50
54,-,Yamaha FS80C The Ultimate Concert Body Cutaway Acoustic Guitar (Black) With Bajaao Gig-Bag,,-,-,7 Days Replacement,-,-,"Brand YAMAHA, Manufacturer Yamaha, Model FS80CBK + Bajaao Bag, Model Name FS80CBK + Bajaao Bag, Package Dimensions 60 x 12.1 x 10.9 cm; 2.44 Kilograms, Item model number FS80CBK + Bajaao Bag, Batteries Required No, Manufacturer Yamaha, Item Weight 2 kg 440 g",https://www.amazon.in/Ultimate-Concert-Cutaway-Acoustic-Bajaao/dp/B08WHWKKV5/ref=sr_1_51?keywords=guitar&qid=1638688106&sr=8-51
55,-,"Kadence Guitar Acoustica Series, Electric Acoustic Guitar, Zebra Wood with Pickup, Inbuilt tuner and Bag (Zebra Wood, Electro Acoustic)",,-,-,7 Days Replacement,-,-,"Brand Kadence, Manufacturer Kadence, Model KAD-A-05R, Product Dimensions 101.6 x 40.64 x 10.16 cm; 3.02 Kilograms, Item model number KAD-A-05R, Batteries Included No, Batteries Required No, Material Rose Wood, Manufacturer Kadence, Country of Origin China, Item Weight 3 kg 20 g",https://www.amazon.in/Kadence-Acoustica-Acoustic-Guitar-Zebra/dp/B07KXNKLJ2/ref=sr_1_52?keywords=guitar&qid=1638688106&sr=8-52
56,-,Yamaha Classical Guitar C40//02,,-,-,7 Days Replacement,-,-,"Product Dimensions 100 x 37 x 11 cm; 1.5 Kilograms, Item model number C40//02, Back Material Meranti, Body Material Meranti, Colour Black, Guitar Pickup Configuration No, Top Material Spruce, Number of Strings 6, Guitar Bridge System Fixed, Material Meranti Wood, Item Weight 1 kg 500 g, Manufacturer Yamaha Corporation, Country of Origin Indonesia, Imported By Yamaha Music India Pvt Ltd, P 401, JMD Megapolis, Sohna Rd, Sector 48, Gurugram, Haryana 122018 Phone: 0124 485 3300",https://www.amazon.in/Yamaha-Classical-Guitar-C40-02/dp/B003UGCUFE/ref=sr_1_53?keywords=guitar&qid=1638688106&sr=8-53
57,-,"Kadence Guitar Acoustica Series, Electric Acoustic Guitar, Ash Wood with Pickup and Inbuilt tuner (Ash Wood, Electro Acoustic)",,-,-,7 Days Replacement,-,-,"Brand Kadence, Manufacturer Kadence, Model A06-EQ, Product Dimensions 101.6 x 40.64 x 10.16 cm; 4.38 Kilograms, Item model number A06-EQ, Batteries Included No, Batteries Required No, Material Rose Wood, Manufacturer Kadence, Item Weight 4 kg 380 g",https://www.amazon.in/Kadence-Acoustica-Ash-Wood-Equlizer/dp/B0757H5P13/ref=sr_1_54?keywords=guitar&qid=1638688106&sr=8-54
58,-,"Yamaha FS100C Acoustic Guitar, Natural",,-,-,7 Days Replacement,-,-,"Brand YAMAHA, Manufacturer Yamaha Corporation, Yamaha Corporation, Model ZC82300, Model Name YAMAHA, Product Dimensions 120 x 55 x 12 cm; 5.32 Kilograms, Item model number ZC82300, Mounting Hardware Guitar(1U),Owners Manual(1U),Contact List(2U),Wrench (1U), Number Of Items 1, Batteries Included No, Batteries Required No, Material Rose Wood, Hand Orientation Right, Includes AC Adapter No, Manufacturer Yamaha Corporation, Imported By Yamaha Music India Pvt Ltd, P 401, JMD Megapolis, Sohna Rd, Sector 48, Gurugram, Haryana 122018 Phone: 0124 485 3300, Item Weight 5 kg 320 g",https://www.amazon.in/Yamaha-FS100C-Acoustic-Guitars-Natural/dp/B00QKD79QE/ref=sr_1_55?keywords=guitar&qid=1638688106&sr=8-55
59,-,"Giuson Venus Black 41 Inch Rosewood Fretboard Acoustic Guitar With Bag,Strap,1 Set of Extra Strings and 2 Picks by K-Retail",,-,-,7 Days Replacement,-,-,"Brand Giuson, Manufacturer Giuson, Model Venus Black, Model Name Giuson Venus Black, Package Dimensions 107.19 x 45.72 x 16 cm; 4.58 Kilograms, Item model number Venus Black, Batteries Required No, Material Rose Wood, Manufacturer Giuson, Item Weight 4 kg 580 g",https://www.amazon.in/Giuson-Venus-Black-Acoustic-Strings/dp/B089GNM189/ref=sr_1_56?keywords=guitar&qid=1638688106&sr=8-56
60,-,"Blueberry B-D38 38"" Acoustic Guitar Kit Inbuilt Truss Rod with Bag, Strap, One Pack Strings And Picks (Blue)",,-,-,7 Days Replacement,-,-,"Brand Blueberry, Manufacturer Blueberry, Model B-D38, Product Dimensions 94 x 33 x 9 cm; 2 Kilograms, Item model number B-D38, Batteries Required No, Hand Orientation Ambidextrous, Manufacturer Blueberry, Country of Origin India, Item Weight 2 kg",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A04962872RQUCIOPVZ12N&url=%2FBlueberry-B-D38-Acoustic-Inbuilt-Strings%2Fdp%2FB07PHYZZP1%2Fref%3Dsr_1_57_sspa%3Fkeywords%3Dguitar%26qid%3D1638688106%26sr%3D8-57-spons%26psc%3D1&qualifier=1638688106&id=484318998207725&widgetName=sp_btf
61,-,"Cort AD810 Dreadnought Acoustic Guitar with Gig Bag,Tuner,Picks and Strap (Natural Bundle)",,-,-,7 Days Replacement,-,-,"Brand Cort, Manufacturer CORT, Model CAP810PACK, Model Name AD810 Pack, Product Dimensions 110 x 40 x 7 cm; 1.5 Kilograms, Item model number CAP810PACK, Batteries Required No, Hand Orientation Right, Manufacturer CORT, Country of Origin Indonesia, Item Weight 1 kg 500 g",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A08790022Y5TKL7GOFMBU&url=%2FCort-AD810-Dreadnought-Acoustic-Guitar%2Fdp%2FB07KMBVR6V%2Fref%3Dsr_1_58_sspa%3Fkeywords%3Dguitar%26qid%3D1638688106%26sr%3D8-58-spons%26psc%3D1%26smid%3DA2E0IZ06LXDJ9X&qualifier=1638688106&id=484318998207725&widgetName=sp_btf
62,-,"GUITAR BRO - COMBO (Black Acoustic Guitar for Beginner, Guitar Learning Kit, Song Book, Video Lectures, Accessories like Pick, Bag)",,-,-,7 Days Replacement,-,-,"Brand Guitar Bro, Manufacturer Guitar Bro Enterprises, Model GB102AMAZON, Product Dimensions 21 x 9 x 4 cm; 3 Kilograms, Item model number GB102AMAZON, Batteries Included No, Batteries Required No, Material Rose Wood, Hand Orientation Right, Manufacturer Guitar Bro Enterprises, Item Weight 3 kg",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A087933837LQ4BBEWM3H5&url=%2FGUITAR-BRO-Acoustic-Beginner-Accessories%2Fdp%2FB07T84GC8L%2Fref%3Dsr_1_59_sspa%3Fkeywords%3Dguitar%26qid%3D1638688106%26sr%3D8-59-spons%26psc%3D1&qualifier=1638688106&id=484318998207725&widgetName=sp_btf
63,-,"Vault EA20CE 40 Inch Cutaway Electro Acoustic Guitar With Bag, Strings, Straps, Picks, String Winder, Polishing Cloth & Ebook",,-,-,7 Days Replacement,-,-,"Brand VAULT, Manufacturer VAULT, Model EA20CE, Model Name EA20CE, Model Year 2021, Product Dimensions 114 x 45 x 13 cm; 2.93 Kilograms, Item model number EA20CE, Batteries Required No, Hand Orientation Right, Manufacturer VAULT, Country of Origin China, Item Weight 2 kg 930 g",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A00398125LVPYCI2ARTB&url=%2FCutaway-Electro-Acoustic-Strings-Polishing%2Fdp%2FB093VHQZGD%2Fref%3Dsr_1_60_sspa%3Fkeywords%3Dguitar%26qid%3D1638688106%26sr%3D8-60-spons%26psc%3D1&qualifier=1638688106&id=484318998207725&widgetName=sp_btf
64,-,"Kadence Guitar Acoustica Series, Electric Acoustic Guitar, Ash Wood with Pickup and Inbuilt tuner (Ash Wood, Electro Acoustic)",,-,-,7 Days Replacement,-,-,"Brand Kadence, Manufacturer Kadence, Model A06-EQ, Product Dimensions 101.6 x 40.64 x 10.16 cm; 4.38 Kilograms, Item model number A06-EQ, Batteries Included No, Batteries Required No, Material Rose Wood, Manufacturer Kadence, Item Weight 4 kg 380 g",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00547791XCM5N3Y9O4JP&url=%2FKadence-Acoustica-Ash-Wood-Equlizer%2Fdp%2FB0757H5P13%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dguitar%26qid%3D1638688110%26sr%3D8-1-spons%26psc%3D1%26smid%3DAM04Z7MH4HSDD&qualifier=1638688110&id=4149574115986038&widgetName=sp_atf
65,-,"Kadence Frontier Series, Acoustic Guitar With/Wihtout EQ Die Cast Keys Combo (Bag,strap,strings and 3 picks) (Brown, Acoustic)",,-,-,7 Days Replacement,-,-,"Brand Kadence, Manufacturer Kadence, Model FNTR-C, Product Dimensions 101.6 x 40.64 x 10.16 cm; 3.8 Kilograms, Item model number FNTR-C, Batteries Included No, Batteries Required No, Includes AC Adapter No, Manufacturer Kadence, Country of Origin China, Item Weight 3 kg 800 g",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A061107531TUGN5RHMV0N&url=%2FKadence-Frontier-Acoustic-Guitar-Strings%2Fdp%2FB01GDZ46AA%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dguitar%26qid%3D1638688110%26sr%3D8-2-spons%26psc%3D1%26smid%3DAM04Z7MH4HSDD&qualifier=1638688110&id=4149574115986038&widgetName=sp_atf
66,-,"Kadence Slowhand Premium Jumbo Semi Acoustic Guitar with Heavy Padded Bag, guitar cable, Pro Capo and Guitar stand (Black Spruce Wood)",,-,-,7 Days Replacement,-,-,"Brand Kadence, Manufacturer Kadence, Model SH-02-03-04, Package Dimensions 111.76 x 33.02 x 14.73 cm; 3.63 Kilograms, Item model number SH-02-03-04, Batteries Included No, Batteries Required No, Material Rose Wood, Manufacturer Kadence, Country of Origin China, Item Weight 3 kg 630 g",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00103562TH7ZMEL1FOWU&url=%2FKadence-Slowhand-Premium-Acoustic-Instrument%2Fdp%2FB077SZ667X%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dguitar%26qid%3D1638688110%26sr%3D8-3-spons%26psc%3D1%26smid%3DAM04Z7MH4HSDD&qualifier=1638688110&id=4149574115986038&widgetName=sp_atf
67,-,"Juarez Acoustic Guitar Kit, 38 Inch Cutaway, 38C with Bag, Strings, Pick and Strap, 3TS Sunburst",,-,-,7 Days Replacement,-,-,"Product Dimensions 96 x 43 x 12 cm; 2 Kilograms, Item model number JRZ38C, Back Material Blackwood, Body Material Wood, Colour Sunburst, Fretboard Material Ebony, Guitar Pickup Configuration Combination, String Material Steel, Neck Material Type Lindenwood, Number of Strings 6, Guitar Bridge System Hardtail Bridge, Material Linden Wood, Item Weight 2 kg, Manufacturer Juârez, Country of Origin China, Imported By Photronics Inc. Unit 110-111, Bldg B-18, Arihant Commercial Complex, Purna Village, Bhiwandi(Thane) - 421 302",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A095465029Y2GH23BGOEO&url=%2FJUAREZ-JRZ38C-Acoustic-Sunburst-Strings%2Fdp%2FB01FYYTDTU%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dguitar%26qid%3D1638688110%26sr%3D8-4-spons%26psc%3D1&qualifier=1638688110&id=4149574115986038&widgetName=sp_atf
68,-,"Intern INT-38C Acoustic Guitar Kit, With Bag, Strings, Pick And Strap, Black",,-,-,7 Days Replacement,-,-,"Brand Intern, Manufacturer Guangzhou Hipatti Trading Co., Ltd, Guangzhou Hipatti Trading Co., Ltd Room 14, Room 307, No. 2, Yishou Street, Sanyuanli Avenue, Tangjing Street, Baiyun District, Guangzhou,China, Model INT-38C, Product Dimensions 98 x 40 x 11 cm; 2.1 Kilograms, Item model number INT-38C, Special Features Suitable for all genres of music: Rock, Pop, Country, Folk and Jazz, All-in-one guitar pack, Unmatched Intonation due to special curved design, 1 year warranty, Mounting Hardware 1N Guitar, 1N Strap, 1n Bag, 1N String Set, 3N Guitar Picks, Number Of Items 6, Batteries Included No, Batteries Required No, Material Linden Wood, Hand Orientation Right, Manufacturer Guangzhou Hipatti Trading Co., Ltd, Country of Origin China, Imported By Dexter Ventures C/o UTL Logictics Pvt Ltd., Building No K-9, Gala No 4-6, Vadghar Village, Bhiwandi, Thane, Maharsahtra - 421302, Item Weight 2 kg 100 g",https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Black/dp/B073B6TQQY/ref=sr_1_5?keywords=guitar&qid=1638688110&sr=8-5
69,-,"Juârez Acoustic Guitar, 38 Inch Cutaway, 038C with Bag, Strings, Pick and Strap, Black",,-,-,7 Days Replacement,-,-,"Product Dimensions 98 x 40 x 10 cm; 2.06 Kilograms, Item model number 038C, Back Material Plastic, Wood, Ebony, Basswood, Body Material Wood, Colour Black, Fretboard Material Ebony, String Material Steel, Number of Strings 6, Material Linden Wood, Size 38C, Item Weight 2 kg 60 g, Manufacturer YAMONA INDUSTRIAL CO., Country of Origin China, Imported By Photronics Inc. Unit 110-111, Bldg B-18, Arihant Commercial Complex, Purna Village, Bhiwandi(Thane) - 421 302",https://www.amazon.in/Juarez-Acoustic-Cutaway-038C-Strings/dp/B017NPCSLI/ref=sr_1_6?keywords=guitar&qid=1638688110&sr=8-6
